x,y,Especie,Subespecie,Nombre_com,Total,Lugar,latitude,longitude,Plataforma,Continent,objectid_1,objectid,cod_catalo,codigo_dta,provincia,canton,distrito,area,cod_provin,cod_canton,region,version
528921.6656,1011938.161,Alouatta palliata,No,Mono Congo,8,"Puntarenas Province, Uvita, Costa Rica",9.151702,-83.736839,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
526769.4513,1012063.072,Alouatta palliata,No,Mono Congo,3,"Bahía Ballena, Provincia de Puntarenas, Pérez Zeledón, Costa Rica",9.152845,-83.756422,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
528113.7601,1012104.857,Alouatta palliata,No,Mono Congo,2,"Provincia de Puntarenas, Uvita, Costa Rica",9.153214,-83.744189,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
527446.6762,1012198,Alouatta palliata,No,Mono Congo,6,"Playa Uvita, Provincia de Puntarenas, Uvita, Costa Rica",9.154061,-83.750259,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
524613.8792,1016918.37,Alouatta palliata,No,Mono Congo,10,"Bahía Ballena, Provincia de Puntarenas, Pérez Zeledón, Costa Rica",9.19676,-83.776008,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
536356.4674,1018431.313,Alouatta palliata,No,Mono Congo,5,"Puntarenas, CR",9.210358,-83.669136,iNaturalist,Si,26,26,160105,11906,San José,Pérez Zeledón,Platanares,81,1,119,Brunca,20200616
519445.6601,1019455.505,Cebus  imitator,No,Mono Carablanca,1,"Bahía Ballena, Provincia de Puntarenas, Pérez Zeledón, Costa Rica",9.219728,-83.823028,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
519405.2256,1019570.462,Cebus  imitator,No,Mono Carablanca,12,"Bahía Ballena, Provincia de Puntarenas, Pérez Zeledón, Costa Rica",9.220768,-83.823396,iNaturalist,Si,388,472,160105,60504,Puntarenas,Osa,Bahía Ballena,158,6,605,Brunca,20200616
543780.0141,1021496.548,Cebus  imitator,No,Mono Carablanca,12,"Puntarenas, CR",9.238006,-83.601547,iNaturalist,Si,25,25,160105,11912,San José,Pérez Zeledón,La  Amistad,76,1,119,Brunca,20200616
514062.9914,1024017.579,Cebus  imitator,No,Mono Carablanca,5,"Provincia de Puntarenas, Savegre, Costa Rica",9.261,-83.872,iNaturalist,Si,35,35,160105,60602,Puntarenas,Quepos,Savegre,216,6,606,Pacífico Central,20200616
528053.4833,1030300.726,Alouatta palliata,No,Mono Congo,2,"Pérez Zeledón, San José, CR",9.317745,-83.744619,iNaturalist,Si,36,36,160105,11901,San José,Pérez Zeledón,San Isidro de El General,192,1,119,Brunca,20200616
503636.344,1030987.947,Cebus  imitator,No,Mono Carablanca,40,"Calle Jardín de los Monos, Playa Matapalo, Provincia de Puntarenas, Matapalo, 60602, Costa Rica",9.324049,-83.966896,iNaturalist,Si,35,35,160105,60602,Puntarenas,Quepos,Savegre,216,6,606,Pacífico Central,20200616
540790.4145,1032695.642,Cebus  imitator,No,Mono Carablanca,7,"San José Province, Pérez Zeledón, Costa Rica",9.339298,-83.628649,iNaturalist,Si,34,34,160105,11902,San José,Pérez Zeledón,El General,77,1,119,Brunca,20200616
484034.3419,1037822.124,Cebus  imitator,No,Mono Carablanca,1,"Parque Nacional Manuel Antonio, Aguirre, Puntarenas, CR",9.385817,-84.14537,iNaturalist,Si,392,476,160105,60601,Puntarenas,Quepos,Quepos,236,6,606,Pacífico Central,20200616
375684.8806,1059105.579,Cebus  imitator,No,Mono Carablanca,7,"Cóbano, Provincia de Puntarenas, Costa Rica",9.576446,-85.132462,iNaturalist,Si,400,71,160105,60111,Puntarenas,Puntarenas,Cóbano,319,6,601,Pacífico Central,20200616
375232.6995,1059456.602,Alouatta palliata,No,Mono Congo,9,"Puntarenas, CR-PU, CR",9.579606,-85.136591,iNaturalist,Si,400,71,160105,60111,Puntarenas,Puntarenas,Cóbano,319,6,601,Pacífico Central,20200616
380095.4912,1061181.439,Alouatta palliata,No,Mono Congo,15,"Cabuya, Provincia de Puntarenas, Costa Rica",9.595342,-85.092348,iNaturalist,Si,400,71,160105,60111,Puntarenas,Puntarenas,Cóbano,319,6,601,Pacífico Central,20200616
444611.0361,1062042.987,Cebus  imitator,No,Mono Carablanca,1,"Turrubares, San José, CR",9.604487,-84.504638,iNaturalist,Si,66,66,160105,11605,San José,Turrubares,Carara,221,1,116,Central,20200616
374745.6628,1062566.513,Alouatta palliata,No,Mono Congo,15,"Puntarenas, CR-PU, CR",9.607706,-85.141122,iNaturalist,Si,400,71,160105,60111,Puntarenas,Puntarenas,Cóbano,319,6,601,Pacífico Central,20200616
374271.519,1063683.296,Cebus  imitator,No,Mono Carablanca,16,Villas Monarka,9.617788,-85.145475,iNaturalist,Si,400,71,160105,60111,Puntarenas,Puntarenas,Cóbano,319,6,601,Pacífico Central,20200616
644359.6791,1064583.637,Alouatta palliata,No,Mono Congo,7,"Limón, Costa Rica",9.625322,-82.68478,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
646235.2973,1064733.241,Alouatta palliata,No,Mono Congo,2,"Limón, Costa Rica",9.626609,-82.667689,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
646156.428,1064740.65,Cebus  imitator,imitator,Mono Carablanca,5,"Limón, Costa Rica",9.626679,-82.668407,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
644443.314,1064791.916,Alouatta palliata,No,Mono Congo,7,"Limón, Costa Rica",9.627202,-82.68401,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
644364.7959,1064899.816,Alouatta palliata,No,Mono Congo,1,"Limón, Costa Rica",9.62818,-82.684722,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
641439.95,1065817.923,Alouatta palliata,No,Mono Congo,1,"Talamanca, Limon, CR",9.63658,-82.711333,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
648039.5787,1065873.956,Alouatta palliata,No,Mono Congo,12,"Limón Province, Punta Manzanillo, Costa Rica",9.636857,-82.651213,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
648169.9327,1065998.613,Alouatta palliata,No,Mono Congo,5,"Limón, Manzanillo, Costa Rica",9.637979,-82.650021,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
642456.8961,1065994.88,Alouatta palliata,No,Mono Congo,1,"Talamanca, Limon, CR",9.638145,-82.702063,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
642556.5054,1066032.437,Alouatta palliata,No,Mono Congo,1,"Talamanca, Limon, CR",9.638481,-82.701155,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
467808.3449,1067334.01,Saimiri oerstedii,No,Mono Tití,42,"Puntarenas, CR",9.652571,-84.293336,iNaturalist,Si,63,63,160105,11205,San José,Acosta,Sabanillas,177,1,112,Central,20200616
634768.9339,1067752.558,Alouatta palliata,No,Mono Congo,7,Costa Rica,9.654291,-82.77204,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
636631.5977,1068133.303,Alouatta palliata,No,Mono Congo,5,"Talamanca, CR-LI, CR",9.657672,-82.755058,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
468531.8225,1070760.467,Saimiri oerstedii,No,Mono Tití,42,"Puntarenas, CR",9.683559,-84.28677,iNaturalist,Si,63,63,160105,11205,San José,Acosta,Sabanillas,177,1,112,Central,20200616
630049.4517,1072631.427,Alouatta palliata,No,Mono Congo,15,"Parque Nacional Cahuita, Talamanca, Limón, CR",9.698547,-82.814881,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
630003.0688,1072634.937,Alouatta palliata,No,Mono Congo,20,"Parque Nacional Cahuita, Talamanca, Limón, CR",9.69858,-82.815304,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
630029.1531,1072644.617,Alouatta palliata,No,Mono Congo,1,"Parque Nacional Cahuita, Talamanca, Limón, CR",9.698667,-82.815066,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
630049.6462,1072671.654,Alouatta palliata,No,Mono Congo,1,"Parque Nacional Cahuita, Talamanca, Limón, CR",9.69891,-82.814878,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
626028.4018,1075238.675,Alouatta palliata,No,Mono Congo,3,"Limón, CR",9.722242,-82.851439,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
627865.3695,1076642.387,Alouatta palliata,No,Mono Congo,10,Costa Rica,9.734875,-82.834656,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
627388.9073,1076823.518,Cebus  imitator,No,Mono Carablanca,1,Parque nacional Cahuita,9.736527,-82.838992,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
629885.199,1078271.721,Cebus  imitator,Si,Mono Carablanca,2,"Punta Cahuita, Café Cahuita, Cahuita Main Road, Cahuita, Limón, Costa Rica",9.749541,-82.816198,iNaturalist,Si,61,61,160105,70403,Limón,Talamanca,Cahuita,234,7,704,Huetar Caribe,20200616
523741.2987,1078177.842,Cebus  imitator,imitator,Mono Carablanca,10,"Paraíso, CR-CA, CR",9.750678,-83.783602,iNaturalist,Si,72,73,160105,30203,Cartago,Paraíso,Orosi,377,3,302,Central,20200616
361040.6403,1080555.308,Alouatta palliata,No,Mono Congo,13,"Provincia de Guanacaste, Costa Rica",9.769887,-85.26657,iNaturalist,Si,401,147,160105,50906,Guanacaste,Nandayure,Bejuco,262,5,509,Chorotega,20200616
361040.6403,1080555.308,Alouatta palliata,No,Mono Congo,25,"Provincia de Guanacaste, Costa Rica",9.769887,-85.26657,iNaturalist,Si,401,147,160105,50906,Guanacaste,Nandayure,Bejuco,262,5,509,Chorotega,20200616
433593.97,1081139.99,Cebus  imitator,No,Mono Carablanca,4,"Provincia de Puntarenas, Costa Rica",9.776992,-84.605319,iNaturalist,Si,96,97,160105,61102,Puntarenas,Garabito,Tárcoles,175,6,611,Pacífico Central,20200616
433528.4724,1081597.3,Cebus  imitator,No,Mono Carablanca,22,"Provincia de Puntarenas, Costa Rica",9.781125,-84.605923,iNaturalist,Si,96,97,160105,61102,Puntarenas,Garabito,Tárcoles,175,6,611,Pacífico Central,20200616
433540.7079,1081651.508,Alouatta palliata,No,Mono Congo,12,"Provincia de Puntarenas, Costa Rica",9.781616,-84.605812,iNaturalist,Si,96,97,160105,61102,Puntarenas,Garabito,Tárcoles,175,6,611,Pacífico Central,20200616
398551.8426,1082367.028,Cebus  imitator,No,Mono Carablanca,12,"Puntarenas, CR",9.787367,-84.924749,iNaturalist,Si,397,484,160105,60105,Puntarenas,Puntarenas,Paquera,336,6,601,Pacífico Central,20200616
398631.1814,1082613.384,Cebus  imitator,No,Mono Carablanca,1,"Provinz Puntarenas, Costa Rica",9.789596,-84.924032,iNaturalist,No,397,484,160105,60105,Puntarenas,Puntarenas,Paquera,336,6,601,Pacífico Central,20200616
398573.9823,1082934.279,Cebus  imitator,No,Mono Carablanca,22,"Paquera, Provincia de Puntarenas, Costa Rica",9.792496,-84.924561,iNaturalist,Si,397,484,160105,60105,Puntarenas,Puntarenas,Paquera,336,6,601,Pacífico Central,20200616
432941.7371,1084604.343,Cebus  imitator,No,Mono Carablanca,1,Cerro Lodge,9.808304,-84.611321,iNaturalist,Si,96,97,160105,61102,Puntarenas,Garabito,Tárcoles,175,6,611,Pacífico Central,20200616
615682.8577,1089467.283,Alouatta palliata,No,Mono Congo,4,"Limón, Limón, CR",9.851178,-82.945306,iNaturalist,Si,113,114,160105,70102,Limón,Limón,Valle La Estrella,1238,7,701,Huetar Caribe,20200616
341546.6966,1090987.547,Alouatta palliata,No,Mono Congo,3,"Nandayure, Guanacaste, CR",9.863477,-85.444623,iNaturalist,Si,406,258,160105,50903,Guanacaste,Nandayure,Zapotal,105,5,509,Chorotega,20200616
334892.5171,1091995.596,Alouatta palliata,No,Mono Congo,7,"Vía 160, Nicoya, Guanacaste, CR",9.872323,-85.505317,iNaturalist,Si,402,192,160105,50205,Guanacaste,Nicoya,Sámara,109,5,502,Chorotega,20200616
318666.9938,1096014.386,Alouatta palliata,No,Mono Congo,1,"Playa Garza, Provincia de Guanacaste, Garza, Costa Rica",9.907952,-85.653389,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
318570.7395,1096172.133,Alouatta palliata,No,Mono Congo,1,"Guanacaste Province, Costa Rica",9.909374,-85.654274,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
318261.8973,1096677.502,Alouatta palliata,No,Mono Congo,10,"Provincia de Guanacaste, Costa Rica",9.913927,-85.657112,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
318261.8973,1096677.502,Alouatta palliata,No,Mono Congo,25,"Provincia de Guanacaste, Costa Rica",9.913927,-85.657112,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
470892.3719,1096288.25,Cebus  imitator,No,Mono Carablanca,1,"Calle Rodeo, Mora, San Jose, CR",9.914395,-84.265442,iNaturalist,Si,154,156,160105,10701,San José,Mora,Colón,40,1,107,Central,20200616
317831.0071,1099258.267,Alouatta palliata,No,Mono Congo,1,"Guanacaste Province, Costa Rica",9.937233,-85.661157,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
318329.6092,1100090.032,Alouatta palliata,No,Mono Congo,5,"Nicoya, Guanacaste, CR",9.944773,-85.65665,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
320133.2002,1100215.693,Alouatta palliata,No,Mono Congo,1,"Nicoya, CR-GU, CR",9.94599,-85.640213,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
320810.5196,1100292.196,Alouatta palliata,No,Mono Congo,1,"Nicoya, Guanacaste, CR",9.946712,-85.634042,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
316769.9847,1100359.833,Alouatta palliata,No,Mono Congo,1,"Nicoya, CR-GU, CR",9.947141,-85.67088,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
317898.1964,1100770.196,Alouatta palliata,No,Mono Congo,1,"Guanacaste Province, Costa Rica",9.950901,-85.660614,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
317496.0763,1100854.704,Alouatta palliata,No,Mono Congo,1,"Nicoya, Guanacaste, CR",9.951647,-85.664283,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
317516.128,1100930.541,Alouatta palliata,No,Mono Congo,8,"Nicoya, CR-GU, CR",9.952333,-85.664104,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
316284.8732,1101137.727,Alouatta palliata,No,Mono Congo,1,Miss Sky Canopy Tour,9.954149,-85.675338,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
316407.788,1101150.99,Alouatta palliata,No,Mono Congo,1,"Playa Pelada, Provincia de Guanacaste, Costa Rica",9.954275,-85.674218,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
316472.3223,1101973.725,Alouatta palliata,No,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.961714,-85.673668,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
316484.0945,1101984.85,Alouatta palliata,No,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.961815,-85.673561,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
316485.782,1101987.585,Alouatta palliata,No,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.96184,-85.673546,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
316239.1362,1102075.68,Alouatta palliata,No,Mono Congo,10,"Guanacaste Province, Costa Rica",9.962625,-85.675799,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
316359.0439,1102079.288,Alouatta palliata,No,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.962663,-85.674706,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
316359.8844,1102080.023,Alouatta palliata,No,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.962669,-85.674698,iNaturalist,Si,409,286,160105,50206,Guanacaste,Nicoya,Nosara,134,5,502,Chorotega,20200616
