ID,x,y,Especie,Subespecie,Nombre común,Total,Lugar,lat,lng,id
92,629885.199,1078271.721,Cebus  imitator,,Mono Carablanca,2,"Punta Cahuita, Caf?® Cahuita, Cahuita Main Road, Cahuita, Lim??n, Costa Rica",9.749541,-82.816198,68354885
93,523741.2987,1078177.842,Cebus  imitator ,imitator,Mono Carablanca,10,"Para?¡so, CR-CA, CR",9.750678,-83.783602,68892715
94,361040.6403,1080555.308,Alouatta palliata,,Mono Congo,13,"Provincia de Guanacaste, Costa Rica",9.769887,-85.26657,68691988
95,361040.6403,1080555.308,Alouatta palliata,,Mono Congo,25,"Provincia de Guanacaste, Costa Rica",9.769887,-85.26657,68691988
96,433593.97,1081139.99,Cebus  imitator,,Mono Carablanca,4,"Provincia de Puntarenas, Costa Rica",9.776992,-84.605319,68291281
97,433528.4724,1081597.3,Cebus  imitator,,Mono Carablanca,22,"Provincia de Puntarenas, Costa Rica",9.781125,-84.605923,68425091
98,433540.7079,1081651.508,Alouatta palliata,,Mono Congo,12,"Provincia de Puntarenas, Costa Rica",9.781616,-84.605812,68424934
99,398551.8426,1082367.028,Cebus  imitator,,Mono Carablanca,12,"Puntarenas, CR",9.787367,-84.924749,68129602
100,398631.1814,1082613.384,Cebus  imitator,,Mono Carablanca,1,"Provinz Puntarenas, Costa Rica",9.789596,-84.924032,68467419
101,398573.9823,1082934.279,Cebus  imitator,,Mono Carablanca,22,"Paquera, Provincia de Puntarenas, Costa Rica",9.792496,-84.924561,68861177
102,432941.7371,1084604.343,Cebus  imitator,,Mono Carablanca,1,Cerro Lodge,9.808304,-84.611321,68375855
103,615682.8577,1089467.283,Alouatta palliata,,Mono Congo,4,"Lim??n, Lim??n, CR",9.851178,-82.945306,68644303
104,341546.6966,1090987.547,Alouatta palliata,,Mono Congo,3,"Nandayure, Guanacaste, CR",9.863477,-85.444623,68327003
105,334892.5171,1091995.596,Alouatta palliata,,Mono Congo,7,"V?¡a 160, Nicoya, Guanacaste, CR",9.872323,-85.505317,68326874
106,318666.9938,1096014.386,Alouatta palliata,,Mono Congo,1,"Playa Garza, Provincia de Guanacaste, Garza, Costa Rica",9.907952,-85.653389,68861282
107,318570.7395,1096172.133,Alouatta palliata,,Mono Congo,1,"Guanacaste Province, Costa Rica",9.909374,-85.654274,68861444
108,318261.8973,1096677.502,Alouatta palliata,,Mono Congo,10,"Provincia de Guanacaste, Costa Rica",9.913927,-85.657112,68661091
109,318261.8973,1096677.502,Alouatta palliata,,Mono Congo,25,"Provincia de Guanacaste, Costa Rica",9.913927,-85.657112,68661091
110,470892.3719,1096288.25,Cebus  imitator,,Mono Carablanca,1,"Calle Rodeo, Mora, San Jose, CR",9.914395,-84.265442,68273126
